"","T.H.I","T.F.E","T.E","I.H.R.V","MCareExp","Tra.Exp","G.F.G.E","H.H.Age","Floor.Area","House.Age","PPN","CYP","GL","BYS","RTvsNT","Number.of.bedrooms","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle","Region","Main.Source.of.Income","Household.Head.Sex","Household.Head.Marital.Status","Household.Head.Job.or.Business.Indicator","Household.Head.Class.of.Worker","Type.of.Household","Type.of.Building.House","Type.of.Roof","Type.of.Walls","Tenure.Status","Toilet.Facilities","Electricity","Main.Source.of.Water.Supply","Young.Members"
"472",237222,91586,0,24000,8655,6288,0,54,56,17,48942,29050,26844,78911,33.3333333333333,1,1,1,1,1,1,0,0,0,3,1,0,0,1,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"473",130930,60752,226,18000,640,23244,0,43,20,18,37212,12825,13641,38542,16.6666666666667,1,1,0,0,0,0,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"474",219900,104258,6335,18000,395,3960,0,59,70,13,66407,31277,12768,37600,83.3333333333333,2,1,1,0,0,0,0,0,0,2,0,1,0,0,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"475",151880,71622,0,21000,4760,8460,0,56,90,32,44737,19134,9666,49344,33.3333333333333,3,1,0,0,0,1,0,0,0,1,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"476",425166,75586,7240,60000,30100,6372,0,59,170,15,24907,20123,69622,115738,0,2,2,1,0,1,1,0,0,0,2,0,0,0,0,"IVA - CALABARZON","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"477",1552340,166022,0,135000,98330,36528,0,85,150,27,87833,51800,61952,358906,28.5714285714286,7,1,0,0,0,1,0,0,0,5,2,1,0,1,"VIII - Eastern Visayas","Other sources of Income","Female","Widowed","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"478",105415,51564,0,3900,352,2874,7755,56,40,14,41616,14990,1450,17009,20,1,1,0,0,0,0,0,0,0,1,0,0,0,1,"VIII - Eastern Visayas","Other sources of Income","Female","Widowed","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","both"
"479",569000,117344,3620,42000,4800,7368,0,59,150,25,45200,25582,35640,154558,50,4,1,1,0,5,0,0,0,0,4,0,0,0,0,"VI - Western Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Multi-unit residential","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"480",158025,66763,8598,6600,2030,1662,0,39,20,15,60301,24486,4484,21980,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IVB - MIMAROPA","Wage/Salaries","Female","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","Water-sealed, other depository, shared with other household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"481",248170,92406,1810,12000,660,3786,0,44,17,25,47468,23199,30420,79956,16.6666666666667,0,1,0,0,0,0,0,0,0,2,0,0,0,0,"NCR","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Multi-unit residential","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"482",697000,186862,0,96000,6328,40632,0,56,120,23,71726,44748,88927,255388,75,4,2,1,1,1,1,1,0,0,4,1,0,0,0,"NCR","Wage/Salaries","Female","Widowed","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"483",173290,80070,2263,9000,460,1410,0,59,150,9,64126,16539,9000,32334,20,2,1,0,0,0,0,0,0,0,2,0,0,0,0,"XII - SOCCSKSARGEN","Other sources of Income","Female","Widowed","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"484",325860,160604,0,42000,28767,10494,0,55,50,16,88309,40357,32417,83263,37.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Mixed but predominantly strong materials","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"485",44415,23822,1040,4800,361,1536,0,41,16,4,25591,5677,2665,15229,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caraga","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Duplex","Light material (cogon,nipa,anahaw)","Very Light","Own or owner-like possession of house and lot","None","No","Own use, faucet, community water system","No children"
"486",347946,165604,10860,30000,1450,1674,0,60,35,2,79785,29282,64388,97735,22.2222222222222,1,1,1,0,0,0,0,0,0,3,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Peddler","both"
"487",502370,112393,0,45000,2900,14184,0,57,70,7,46505,43004,44480,143220,50,4,1,1,1,1,1,0,0,1,4,2,0,0,1,"III - Central Luzon","Wage/Salaries","Male","Married","No Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"488",644960,209874,0,48000,7726,22086,0,68,75,35,75795,58836,109790,145007,36.3636363636364,3,0,0,0,1,1,0,0,0,5,2,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","No Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"489",455030,108513,780,60000,7640,35184,105900,65,100,12,59250,36264,42840,108736,57.1428571428571,4,1,0,1,1,1,0,1,0,5,1,1,0,1,"CAR","Wage/Salaries","Female","Widowed","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"490",448580,153976,0,48000,0,14946,0,22,21,17,68790,45417,85247,103027,50,2,1,1,1,1,1,1,0,0,4,1,1,0,1,"XI - Davao Region","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","Less than 5 years old"
"491",198704,77502,0,12600,273,3450,0,36,30,7,44225,18974,25356,43032,20,1,1,2,0,1,1,0,0,1,2,0,0,0,1,"V - Bicol Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"492",154847,67577,0,15600,14067,2136,0,65,100,12,37003,16700,12364,31524,50,1,1,0,0,0,0,0,0,0,1,0,0,0,1,"I - Ilocos Region","Wage/Salaries","Male","Single","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","No children"
"493",215782,72421,2715,18000,3284,9774,0,71,100,65,26103,12474,68240,52926,25,2,1,1,0,1,1,0,0,0,2,2,0,0,1,"I - Ilocos Region","Other sources of Income","Female","Widowed","No Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","Less than 5 years old"
"494",66080,38170,1960,6000,678,1020,420,48,20,5,45829,7726,1750,11576,33.3333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Caraga","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","No children"
"495",87362,32811,0,36000,100,480,8292,58,70,15,22753,11476,0,53153,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,"IVA - CALABARZON","Other sources of Income","Female","Single","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"496",148250,76296,2080,6000,460,1800,21225,61,42,26,59743,15764,38210,27672,71.4285714285714,2,1,0,0,0,0,0,0,0,3,0,0,0,0,"II - Cagayan Valley","Enterpreneurial Activities","Male","Married","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Dug well","between 5 and 17 years old"
"497",535464,83590,0,102000,380,9582,0,52,80,16,67145,13041,27994,195158,25,4,1,0,0,1,1,1,0,0,4,1,0,0,0,"IVB - MIMAROPA","Other sources of Income","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"498",98930,56865,0,7200,1740,7338,0,60,20,6,60366,15846,2714,27878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"XI - Davao Region","Other sources of Income","Female","Widowed","No Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"499",189580,69905,180,12000,35215,16920,0,46,146,12,28818,22809,4577,41484,0,2,1,0,0,1,1,0,0,0,4,0,0,0,1,"I - Ilocos Region","Other sources of Income","Female","Single","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","between 5 and 17 years old"
"500",297135,102278,5420,18000,310,9882,118760,69,60,60,62853,29249,40842,67576,0,2,1,1,1,1,1,0,1,0,4,0,1,0,1,"III - Central Luzon","Other sources of Income","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"501",70986,31567,0,6000,33000,612,28500,56,20,45,13050,4434,5260,14906,100,4,0,0,0,0,0,0,0,0,1,0,0,0,0,"II - Cagayan Valley","Enterpreneurial Activities","Male","Divorced/Separated","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, shared with other household","Si","Shared, tubed/piped deep well","No children"
"502",249000,122882,0,39000,312,7956,0,45,100,15,31884,14492,89408,97072,33.3333333333333,1,1,1,0,0,1,0,0,0,4,2,0,0,0,"IVA - CALABARZON","Other sources of Income","Female","Married","No Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"503",153496,100135,0,12000,1910,10818,0,53,45,8,63609,37520,17498,47197,20,2,1,0,0,0,0,0,0,0,2,0,0,0,0,"VIII - Eastern Visayas","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"504",116946,89118,476,6000,168,2442,0,60,49,2,94049,16212,12524,25343,12.5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,"IVB - MIMAROPA","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","Closed pit","No","Shared, tubed/piped deep well","both"
"505",56990,34167,432,2400,170,900,21895,32,10,8,16798,10776,708,12647,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IX - Zasmboanga Peninsula","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Protected spring, river, stream, etc","between 5 and 17 years old"
"506",107743,61757,8145,7200,325,1200,0,41,22,35,42389,16084,3455,24627,50,1,1,1,0,0,0,0,0,0,2,0,0,0,0,"VII - Central Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"507",181542,90208,1448,0,1526,9150,0,34,40,15,64619,25844,16957,55160,40,1,2,1,1,1,0,0,0,0,4,1,0,0,1,"VII - Central Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, shared with other household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"508",158764,99612,975,6000,1476,1320,103435,51,42,16,92399,28788,3636,26648,25,4,1,1,0,0,0,0,0,0,1,0,0,0,0,"IX - Zasmboanga Peninsula","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Extended Family","Single house","Mixed but predominantly light materials","Very Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","both"
"509",115252,74751,6990,4200,740,2964,0,35,30,15,45483,26463,10226,24809,50,2,1,0,0,0,0,0,0,0,1,0,0,0,1,"II - Cagayan Valley","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Own use, tubed/piped deep well","both"
"510",447648,227363,0,54000,10955,29610,0,60,40,35,127872,69332,43215,142979,33.3333333333333,1,1,1,1,1,1,0,0,0,5,1,0,0,1,"NCR","Wage/Salaries","Male","Married","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","Less than 5 years old"
"511",172484,73762,0,30000,9393,14760,0,64,108,17,34892,19707,4320,51694,0,3,1,0,0,1,1,1,0,0,2,0,0,0,0,"VIII - Eastern Visayas","Other sources of Income","Female","Single","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"512",80639,52641,1040,3000,2755,684,12424,70,21,4,26780,9465,6080,16137,20,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"IX - Zasmboanga Peninsula","Other sources of Income","Female","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"513",256900,131214,0,12000,12943,10320,0,43,55,15,54430,47465,18113,58862,28.5714285714286,1,1,1,1,1,0,0,0,0,2,0,0,0,0,"VII - Central Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","both"
"514",218720,107931,1086,0,1268,21978,0,45,60,36,69824,19548,17350,66229,20,2,1,0,0,1,0,0,0,0,4,1,0,0,1,"X - Northern Mindanao","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Duplex","Mixed but predominantly light materials","Very Light","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"515",525682,79457,0,33000,1500,8544,0,56,73,18,37550,25514,25530,102708,50,3,2,1,0,1,0,0,0,0,2,1,0,0,1,"IVB - MIMAROPA","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"516",110025,56188,0,3600,1988,6360,0,53,20,5,27180,8807,24730,27506,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,"IVB - MIMAROPA","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Mixed but predominantly strong materials","Quite Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","No children"
"517",159238,92160,0,6000,3370,10650,58408,39,96,9,40060,41942,21218,33204,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,"II - Cagayan Valley","Other sources of Income","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Tubed/piped shallow well","between 5 and 17 years old"
"518",154010,95302,2896,6000,12656,8640,0,38,20,6,69454,27475,14416,21708,20,2,1,0,0,0,0,0,0,0,1,0,0,0,0,"XI - Davao Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"519",563053,90264,0,7800,4380,2580,320925,51,30,11,45643,21621,24844,46868,0,1,1,1,1,1,1,1,1,0,2,1,1,0,1,"II - Cagayan Valley","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"520",281866,97667,0,9600,5980,12480,0,40,25,15,43635,21738,43472,62539,20,2,2,0,0,1,1,0,0,0,3,2,0,0,1,"I - Ilocos Region","Other sources of Income","Female","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"521",157381,65668,240,3000,2232,8688,58878,41,9,10,71033,8274,14324,37030,14.2857142857143,2,0,0,0,1,0,0,0,0,0,0,0,0,1,"VII - Central Visayas","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Mixed but predominantly light materials","Very Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","both"
"522",296445,123461,0,6000,1810,3006,29750,52,400,25,121773,14601,18888,46808,9.09090909090909,4,1,1,1,0,0,0,0,0,4,0,0,0,1," ARMM","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"523",120968,59310,0,24000,15556,1080,0,69,50,24,38311,19196,4400,52978,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,"VII - Central Visayas","Other sources of Income","Female","Widowed","No Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","No children"
"524",188415,75291,1950,18000,3636,3858,0,35,84,17,55314,16873,19068,39598,20,2,1,0,0,0,1,0,0,0,1,0,0,0,0,"I - Ilocos Region","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"525",109907,115607,19910,12000,692,9570,0,42,50,2,45934,71433,14618,42224,33.3333333333333,1,1,1,0,1,0,0,0,0,2,0,1,0,2,"VII - Central Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"526",31260,8972,1170,2400,0,1224,0,40,18,15,7914,1396,2850,7466,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1," ARMM","Enterpreneurial Activities","Male","Divorced/Separated","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"527",104020,68648,1040,8400,200,3420,0,38,42,25,62534,14492,0,18452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ARMM","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Closed pit","No","Dug well","between 5 and 17 years old"
"528",723898,236293,0,54000,40358,67254,0,64,80,35,94606,81634,66879,171016,80,4,3,1,1,1,1,1,1,1,5,4,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"529",104674,44134,0,7800,9935,4080,74070,73,100,28,36033,14833,6500,21606,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"II - Cagayan Valley","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"530",172062,83137,9593,33000,0,2148,0,42,30,55,36278,10868,54034,51744,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,"NCR","Enterpreneurial Activities","Male","Divorced/Separated","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, shared with other household","Si","Shared, faucet, community water system","No children"
"531",138026,84097,520,8400,236,1440,47240,66,80,36,61427,20973,10056,26526,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0," ARMM","Other sources of Income","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Others","No","Lake, river, rain and others","between 5 and 17 years old"
"532",44977,26844,1810,2400,0,240,7157,73,13,8,34284,2978,624,7156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"VIII - Eastern Visayas","Other sources of Income","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","None","Si","Shared, faucet, community water system","No children"
